Tweet_ID,Hastag
1477082356402073601,#Roddy
1477082356402073601,#HerbertObviously
1477082357052153857,#HAPPYNEWYEAR2022
1477082358234951691,#COVID
1477082359027613703,#itemsfantasmas
1477082359027613703,#Bolivia
1477082359027613703,#Bolivianos
1477082359027613703,#SantaCruz
1477082359027613703,#SantaCruzBo
1477082359027613703,#CORRUPCION
1477082359027613703,#racismo
1477082359027613703,#corruptos
1477082359027613703,#COVID19
1477082359027613703,#coronavirus
1477082359027613703,#indigenas
1477082359027613703,#collas
1477082359027613703,#cambas
1477082359027613703,#robodelsiglo
1477082359027613703,#pitita
1477082359027613703,#ladron
1477082359027613703,#senkata
1477082359027613703,#sacaba
1477082359027613703,#DDHH
1477082359027613703,#FernandoCamacho
1477082359027613703,#AngelicaSosa
1477082359027613703,#LaPaz
1477082359027613703,#ElAlto
1477082359027613703,#EvoMorales
1477082359598039043,#AEHoops
1477082360600530952,#SaveMeBrandon
1477082362118770690,#NSWHealth
1477082362118770690,#NSWPolice
1477082362118770690,#Resist
1477082362118770690,#AustralianDefen
1477082362118770690,#StandDownSoldier
1477082362118770690,#MudBlood
1477082362118770690,#DoNotComply
1477082362118770690,#ComplyampDie
1477082362655686657,#COVID19
1477082363301871616,#Florona
1477082363301871616,#HappyNewYear2022
1477082364698402821,#covid
1477082365856186368,#COVID19
1477082365856186368,#Omicron
1477082367097454598,#NDigital
1477082368720744450,#CovidInquiryNow
1477082368720744450,#WalkTheWall
1477082368720744450,#KatiePersinger
1477082371434463233,#Cuba
1477082371434463233,#CubaVive
1477082371434463233,#CubaPorLaSalud
1477082371434463233,#Feliz2022Revolución
1477082371933413377,#LNPfail
1477082371933413377,#nswcovid
1477082372831158272,#News
1477082372831158272,#FOX43
1477082372831158272,#PA
1477082372831158272,#Pennsylvania
1477082377213997058,#Verstapen
1477082377213997058,#Omicron
1477082377213997058,#vacunas
1477082377213997058,#Contagios
1477082377213997058,#Campeones
1477082377213997058,#CampeonesDeAmerica
1477082377213997058,#RedBull
1477082377213997058,#Podios
1477082377213997058,#Hamilton
1477082377213997058,#Holanda
1477082377213997058,#PaisesBajo
1477082378002698247,#OdysseyOfTheSeas
1477082378455691265,#Keto
1477082379537764354,#GregAbbott
1477082379726503936,#MurdochRoyalCommission
1477082380548681730,#COVID19
1477082381647368194,#bts
1477082381647368194,#jin
1477082381647368194,#RM
1477082381647368194,#korean
1477082381647368194,#korea
1477082381647368194,#kpop
1477082381647368194,#covid
1477082386009669635,#iran
1477082387607654403,#COVID19
1477082387607654403,#Impfstoffe
1477082387607654403,#Impfung
1477082389985824772,#AbbottFailedTexas
1477082390614794241,#LNPfail
1477082390614794241,#nswcovid
1477082391034630144,#NewYear2022
1477082391692955649,#AbbottFailedTexas
1477082393462788096,#COVID19
1477082393588551681,#monolclonalant
1477082397673811968,#COVID19
1477082397673811968,#COVIDVaccination
1477082398496108548,#COVID19
1477082398668034061,#amirite
1477082399582396419,#StamfordCT
1477082399582396419,#CovidTesting
1477082402497384448,#EndTigraySiege
1477082402497384448,#AllowAccessToTigray
1477082403831226372,#londonfireworks
1477082404959526925,#COVIDー19
1477082404959526925,#COVID19
1477082404959526925,#coronavirus
1477082405697724432,#COVID19
1477082406100348931,#technology
1477082406100348931,#finance
1477082406100348931,#TeamWDAY
1477082406196813824,#USRC
1477082407807467521,#COVID19
1477082413054541824,#londonfireworks
1477082414304350218,#Zangrillo
1477082415835267077,#Mundo
1477082416778940417,#bts
1477082416778940417,#jin
1477082416778940417,#RM
1477082416778940417,#korean
1477082416778940417,#korea
1477082416778940417,#kpop
1477082416778940417,#covid
1477082419060740098,#ResidentEvil
1477082419652145162,#NewY
1477082422265061378,#GregAbbott
1477082422265061378,#GOP
1477082423183745035,#AbbottFailedTexas
1477082423183745035,#GOPDeathCult
1477082424077012992,#datavisualization
1477082424077012992,#datascience
1477082424077012992,#analytics
1477082424077012992,#health
1477082424077012992,#data
